code,description
5593,AUTOMOTIVE PARTS AND ACCESSORIES
5600,RETAIL TRADE - APPAREL AND ACCESSORIES
5610,MEN'S AND BOY'S CLOTHING AND FURNISHINGS
5620,WOMEN'S READY-TO-WEAR
5630,WOMEN'S ACCESSORIES AND SPECIALTIES
5631,WIGS
5640,CHILDREN'S AND INFANT'S WEAR
5650,FAMILY CLOTHING
5660,SHOES
5670,CUSTOM TAILORING
5680,FURRIERS AND FUR APPAREL
5690,OTHER APPAREL AND ACCESSORIES
5700,"RETAIL TRADE - FURNITURE, HOME FURNISHINGS, AND EQUIPMENT"
5710,"FURNITURE, HOME FURNISHINGS, AND EQUIPMENT"
5711,FURNITURE
5712,FLOOR COVERINGS - RETAIL
5713,"DRAPERIES, CURTAINS AND UPHOLSTERY"
5714,"CHINA, GLASSWARE AND METAL WARE"
5716,CERAMICS & GREENWARE (FIGURINES)
5720,APPLIANCES
5721,APPLIANCE PARTS
5730,"RADIOS, TELEVISIONS AND MUSIC SUPPLIES"
5731,RADIOS AND TELEVISIONS
5732,MUSIC SUPPLIES
5733,VIDEO RENTAL AND SALES
5800,RETAIL TRADE - EATING AND DRINKING
5810,EATING PLACES (GROSS RECEIPTS)
5811,FAST FOODS
5812,CATERING SERVICE
5813,BANQUET HALLS
5814,COFFEE SHOP
5820,DRINKING PLACES
5900,"OTHER RETAIL TRADE, NEC"
5901,"ALARM - MONITORING, INSTALLATION & SALES"
5902,ALARM - MONITORING ONLY
5903,ALARM - INSTALLATION & SALES ONLY
5904,ALARM - SALES ONLY
5905,CELL PHONE SALES
5906,BRICK DEALER
5907,FIREARMS DEALER
5909,PHARMACIES
5910,DRUG STORES
5920,PACKAGE LIQUOR
5930,ANTIQUES AND SECOND HAND MERCHANDISE
5931,ANTIQUES
5932,SECOND HAND MERCHANDISE
5940,BOOKS AND STATIONERY
5941,BOOKS
5942,STATIONERY AND CARDS
5950,SPORTING GOODS AND BICYCLES
5951,SPORTING GOODS
5952,BICYCLES - RETAIL
5960,FARM AND GARDEN SUPPLIES
5961,"HAY, GRAINS, AND FEEDS"
5970,JEWELRY -RETAIL AND REPAIR
5980,FUEL AND ICE
5982,FUEL OIL
5983,BOTTLED GAS
5984,COAL
5990,RETAIL TRADE
5991,FLORISTS
5992,CIGARS AND CIGARETTES -RETAIL
5993,NEWSPAPERS AND MAGAZINES
5994,CAMERAS AND PHOTOGRAPHIC SUPPLIES
5995,"GIFTS, NOVELTIES, AND SOUVENIRS"
5996,OPTICAL GOODS
5997,PET SHOPS
5998,PLANT STORES AND NURSERIES
5999,COMPUTER SOFTWARE/HARDWARE SALES
6000,SERVICES
6100,"FINANCE, INSURANCE, AND REAL ESTATE SERVICES"
6110,BANKING AND BANK RELATED FUNCTIONS
6111,BANKING SERVICES
6112,BANK RELATED FUNCTIONS
6119,CHECK CASHING SERVICE
6120,CREDIT SERVICES (OTHER THAN BANKS)
6121,SAVINGS AND LOAN ASSOCIATIONS
6122,"AGRICULTURAL, BUSINESS, PERSONAL CREDIT SERVICES"
6125,LOAN COMPANY SERVICES (OTHER THAN BANKS OR S&L)
6130,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES AND SERVICES"
6131,SECURITY BROKERS AND DEALERS
